Date,Actual_Gold_Price_USD,Actual_USD_INR
2025-06-24,3340.40,86.03
2025-06-23,3358.80,86.58
2025-06-22,3388.34,86.58
2025-06-20,3385.70,86.58
2025-06-19,3384.97,86.84
2025-06-18,3408.10,86.43
2025-06-17,3406.90,86.32
2025-06-16,3417.30,85.85
2025-06-15,3464.22,95.98
2025-06-13,3452.80,86.11
2025-06-12,3402.40,85.58
2025-06-11,3343.70,85.47
2025-06-10,3343.40,85.60
2025-06-09,3354.90,85.67
2025-06-06,3346.60,85.79
2025-06-05,3375.10,85.84
2025-06-04,3399.20,85.88
2025-06-03,3377.10,85.71
2025-06-02,3397.20,85.35
2025-05-30,3315.40,85.53
2025-05-29,3343.90,85.42
2025-05-28,3308.30,85.41
2025-05-27,3313.70,85.33
2025-05-26,3374.47,85.09
2025-05-25,3370.27,85.14
2025-05-23,3394.50,85.20
2025-05-22,3323.60,86.00
2025-05-21,3341.90,85.60
2025-05-20,3312.60,85.54
2025-05-19,3261.40,85.39
2025-05-16,3187.20,85.50
2025-05-15,3226.60,85.55
2025-05-14,3188.30,85.40
2025-05-13,3247.80,85.28
2025-05-12,3228.00,84.89
2025-05-09,3344.00,85.41
2025-05-08,3306.00,85.54
2025-05-07,3391.90,84.72
2025-05-06,3422.80,84.31
2025-05-05,3322.30,84.30
2025-05-02,3243.30,84.53
2025-05-01,3222.20,84.59
2025-04-30,3319.10,84.60
2025-04-29,3333.60,85.16
2025-04-28,3333.00,85.16
2025-04-25,3298.40,85.39
2025-04-24,3348.60,85.33
2025-04-23,3294.10,85.35
2025-04-22,3419.40,85.18
2025-04-21,3425.30,85.17
2025-04-17,3328.40,85.38
2025-04-16,3346.40,85.59
2025-04-15,3240.40,85.68
2025-04-14,3226.30,86.02
2025-04-11,3244.60,86.19
2025-04-10,3177.50,86.19
2025-04-09,3079.40,86.65
2025-04-08,2990.20,86.24
2025-04-07,2973.60,85.85
2025-04-04,3035.40,85.50
2025-04-03,3121.70,85.25
2025-04-02,3166.20,85.45
2025-04-01,3146.00,85.57
2025-03-31,3150.30,85.45
2025-03-28,3114.30,85.53
2025-03-27,3075.80,85.64
2025-03-26,3037.30,85.63
2025-03-25,3039.60,85.58
2025-03-24,3044.00,85.56
2025-03-21,3048.40,85.99
2025-03-20,3071.30,86.32
2025-03-19,3069.10,86.31
2025-03-18,3068.90,86.51
2025-03-17,3034.10,86.69
2025-03-14,3001.10,86.94
2025-03-13,2991.30,86.90
2025-03-12,2946.80,87.15
2025-03-11,2920.90,87.18
2025-03-10,2899.40,87.29
2025-03-07,2914.10,87.10
2025-03-06,2926.60,87.01
2025-03-05,2926.00,86.88
2025-03-04,2920.60,87.26
2025-03-03,2901.10,87.26
2025-02-28,2848.50,87.47
2025-02-27,2895.90,87.33
2025-02-26,2917.80,87.11
2025-02-25,2906.00,87.13
2025-02-24,2949.70,86.66
2025-02-21,2953.20,86.57
2025-02-20,2956.10,86.56
2025-02-19,2936.10,86.89
2025-02-18,2949.00,86.87
2025-02-14,2900.70,86.62
2025-02-13,2945.40,86.69
2025-02-12,2928.70,86.90
2025-02-11,2932.60,86.79
2025-02-10,2934.40,87.47
2025-02-07,2887.60,87.63
2025-02-06,2876.70,87.58
2025-02-05,2893.00,87.34
2025-02-04,2875.80,87.07
2025-02-03,2857.10,86.96
2025-01-31,2835.00,86.54
2025-01-30,2845.20,86.55
2025-01-29,2781.50,86.63
2025-01-28,2781.00,86.58
2025-01-27,2752.40,86.35
2025-01-24,2792.70,86.20
2025-01-23,2778.30,86.43
2025-01-22,2797.40,86.45
2025-01-21,2785.60,86.45
2025-01-17,2748.70,86.57
2025-01-16,2750.90,86.57
2025-01-15,2717.80,86.38
2025-01-14,2682.30,86.53
2025-01-13,2678.60,86.65
2025-01-10,2715.00,86.17
2025-01-09,2690.80,85.89
2025-01-08,2672.40,85.92
2025-01-07,2665.40,85.80
2025-01-06,2647.40,85.70
2025-01-03,2654.70,85.76
2025-01-02,2669.00,85.76
2024-12-31,2641.00,85.55
2024-12-30,2618.10,85.47
2024-12-27,2618.40,85.39
2024-12-26,2640.30,85.25
2024-12-24,2622.80,85.18
2024-12-23,2615.50,85.10
2024-12-20,2632.50,84.95
2024-12-19,2596.00,85.09
2024-12-18,2640.80,84.87
2024-12-17,2649.60,84.90
2024-12-16,2657.00,84.89
2024-12-13,2662.40,84.78
2024-12-12,2695.10,84.83
2024-12-11,2741.50,84.80
2024-12-10,2705.60,84.88
2024-12-09,2673.30,84.83
2024-12-06,2647.10,84.67
2024-12-05,2636.10,84.68
2024-12-04,2664.30,84.69
2024-12-03,2655.90,84.68
2024-12-02,2646.50,84.74
2024-11-29,2669.00,84.56
2024-11-27,2652.30,84.41
2024-11-26,2621.30,84.32
2024-11-25,2618.50,84.26
2024-11-22,2712.20,84.43
2024-11-21,2674.90,84.50
2024-11-20,2651.70,84.36
2024-11-19,2631.00,84.39
2024-11-18,2614.60,84.40
2024-11-15,2570.10,84.42
2024-11-14,2572.90,84.46
2024-11-13,2586.50,84.42
2024-11-12,2606.30,84.38
2024-11-11,2617.70,84.38
2024-11-08,2694.80,84.40
2024-11-07,2705.80,84.29
2024-11-06,2676.30,84.31
2024-11-05,2749.70,84.11
2024-11-04,2746.20,84.13
2024-11-01,2749.20,84.08
2024-10-31,2749.30,84.06
2024-10-30,2800.80,84.08
2024-10-29,2768.80,84.05
2024-10-28,2743.60,84.06
2024-10-25,2742.20,84.10
2024-10-24,2736.50,84.05
2024-10-23,2717.10,84.06
2024-10-22,2747.40,84.07
2024-10-21,2726.80,84.07
2024-10-18,2718.00,84.07
2024-10-17,2695.50,84.04
2024-10-16,2679.30,84.03
2024-10-15,2667.00,84.04
2024-10-14,2653.70,84.05
2024-10-11,2664.40,84.10
2024-10-10,2627.40,83.94
2024-10-09,2614.10,83.95
2024-10-08,2623.50,83.95
2024-10-07,2654.00,83.98
2024-10-04,2656.00,84.02
2024-10-03,2667.40,83.99
2024-10-02,2658.10,83.92
2024-10-01,2678.50,83.90
2024-09-30,2647.90,83.76
2024-09-27,2656.50,83.71
2024-09-26,2670.40,83.60
2024-09-25,2660.70,83.60
2024-09-24,2653.00,83.60
2024-09-23,2628.60,83.53
2024-09-20,2622.40,83.49
2024-09-19,2590.90,83.62
2024-09-18,2574.90,83.65
2024-09-17,2568.90,83.75
2024-09-16,2585.20,83.84
2024-09-13,2586.80,83.88
2024-09-12,2557.10,83.92
2024-09-11,2519.00,83.96
2024-09-10,2519.50,83.95
2024-09-09,2509.30,83.93
2024-09-06,2501.50,83.99
2024-09-05,2519.70,83.96
2024-09-04,2502.70,83.96
2024-09-03,2499.70,83.95
2024-08-30,2504.50,83.87
2024-08-29,2536.70,83.88
2024-08-28,2502.60,83.90
2024-08-27,2517.70,83.91
2024-08-26,2520.20,83.84
2024-08-23,2511.20,83.81
2024-08-22,2482.10,83.93
2024-08-21,2512.80,83.87
2024-08-20,2516.10,83.75
2024-08-19,2506.80,83.85
2024-08-16,2503.60,83.88
2024-08-15,2458.60,83.94
2024-08-14,2446.20,83.96
2024-08-13,2473.90,83.91
2024-08-12,2469.90,83.93
2024-08-09,2439.80,83.95
2024-08-08,2430.30,83.99
2024-08-07,2400.00,83.89
2024-08-06,2398.90,83.93
2024-08-05,2411.80,84.02
2024-08-02,2436.20,83.79
2024-08-01,2445.90,83.71
2024-07-31,2438.50,83.70
2024-07-30,2417.60,83.72
2024-07-29,2377.80,83.75
2024-07-26,2381.00,83.70
2024-07-25,2353.50,83.72
2024-07-24,2415.70,83.71
2024-07-23,2407.30,83.68
2024-07-22,2394.70,83.65
2024-07-19,2399.10,83.72
2024-07-18,2456.40,83.58
2024-07-17,2459.90,83.58
2024-07-16,2467.80,83.52
2024-07-15,2428.90,83.55
2024-07-12,2420.70,83.51
2024-07-11,2421.90,83.51
2024-07-10,2379.70,83.51
2024-07-09,2367.90,83.47
2024-07-08,2363.50,83.50
2024-07-05,2397.70,83.50
2024-07-04,2364.60,83.48
2024-07-03,2369.40,83.52
2024-07-02,2333.40,83.50
2024-07-01,2338.90,83.44
2024-06-28,2339.60,83.36
2024-06-27,2336.60,83.44
2024-06-26,2301.00,83.56
2024-06-25,2318.40,83.40
2024-06-24,2332.40,83.45
2024-06-21,2319.10,83.56
2024-06-20,2357.00,83.62
2024-06-19,2343.00,83.46
2024-06-18,2334.80,83.33
2024-06-17,2316.90,83.50
2024-06-14,2337.00,83.55
2024-06-13,2305.90,83.54
2024-06-12,2342.70,83.43
2024-06-11,2314.60,83.60
2024-06-10,2315.10,83.50
2024-06-07,2313.20,83.52
2024-06-06,2378.90,83.47
2024-06-05,2363.60,83.37
2024-06-04,2335.70,83.52
2024-06-03,2357.50,83.08
2024-05-31,2333.90,83.42
